క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
"కొనిపోవు,కొంపోవు","అపహరించు,తీసుకొనిపోవు",,,,2,,,1,,,
కొనియాడు-కొండాడు,"మెచ్చు,పొగడు,స్తుతించు;గౌరవించు,ఆదరించు,పాటించు,లక్ష్యపెట్టు;భుజించు,సేవించు,కొలుచు;కాపాడు,రక్షించు,పోషించు",,,,1,2,,,,,
కొనివచ్చు,"తెచ్చు,తీసుకొనివచ్చు",,,1,2,,,,,,
కొను,"గ్రహించు,పట్టుకొను,తీసికొను,తీసికొనిపోవు,ధనాదులు-ప్రతిగ్రహించు;పరిగ్రహించు,స్వీకరించు;లోగొను,ఇముడ్చుకొను,అపహరించు,హరించు;ఆధారముగా జేసికొను;అనుసరించు;కావించు ,చేయు;పొందు,ప్రాప్తించు;లక్ష్యముగా జేయు,గురిగాజేయు,లక్ష్యపెట్టు,సరకుసేయు;వశపరచుకొను,ఆక్రమించు,స్వాధీనపరుచు,తాల్చు,ధరించు;పూను,కలియు,కూడు,చేరు;తలచు,ఎంచు;నెరవేర్చు,సాధించు;తెచ్చుకొను,తెచ్చిపెట్టుకొను;చేరనిచ్చు;(నృత్తాదులను)ప్రయోగించు;భుజించు,తిను;త్రాగు;వేలకుదీసికోను,విలుచు;ఖండించు,నరకు;కొట్టు,వ్రేయు;నాటు,కాడు",,,,1,2,,,,,
కొప్పరించు,నిండుగా బోయు,కొప్పరము,,1,2,,,,,,
కొఱతపఱచు,"తక్కువ పఱచు,న్యూనము చేయు",కొఱతపడు,,1,2,,,,,,
కొఱలు,"పొందు,పడయు;కోరు,అభిలషించు",,,,1,2,,,,,
కొఱుకు,"కఱచు,దంశనము చేయు",,,,1,,2,,,,
కొలదివెట్టు,"ఎంచు,గణించు,లెక్కించు;పరిమితము చేయు,కొంచెపఱచు",,,,2,,1,,,,
కొలపెట్టు,"కొలతవేయు,కొలుచు",,2,,1,,,,,,
కొలిపించు,ధాన్యాదికము - కోలువజేయు,కొలుచు,1,,2,,,,,,
కొలిపించు,కోలువజేయు;సేవింపజేయు,కొలుచు,2,,1,,,,,,
కొలుచు,కొలతవేయు,,1,,2,,,,,,
కొలుచు,"ఉపాసించు,ధ్యానించు;సేవించు,ఓలగించు;నమస్కరించు",,,,1,,2,,,,
కొలుపు,"(కొను ధాతువనుకు ప్రేరనరూపం);పురికొల్పు,పుట్టించు,కలిగించు",,,,2,,1,,,,
కొల్లకొట్టు,"కొల్లపెట్టు,దోచుకొను,కొల్లగా సంపాదించు",కొల్ల,,,1,2,,,,,
కొల్లగొను,"కొల్లపెట్టు, దోచుకొను, పుష్కలంగాపడయు",,,,2,1,,,,,
కొల్లపఱచు,"కొల్లపెట్టు,దోచుకొను",కొల్లపడు,,,1,2,,,,,
కొల్లపుచ్చు,"చూఱగొను,అపహరించు;చెఱచు,భ్రష్టముచేయు",కొల్లపోవు,,1,2,3,,,,,
కొల్లపెట్టు,"దొంగిలించు,దోచుకొను,కొల్లకొట్టు;పుష్కలముగా పడయు,అధికముగా సంపాదించు",కొల్ల,,,1,2,,,,,
కొల్లవిడుచు,"కొల్లగాగొన విడిచిపెట్టు;యథేచ్ఛముగా ననుభవింపనిచ్చు;పుష్కలముగా నొసగు;వశపఱచు,అధినముచేయు",కొల్ల,,,2,1,,,,,
కొల్లవోవు,"చూఱపోవు,అపహృతమగు;చెడు,భగ్నమగు",,,,1,2,,,,,
"కొల్లాడు,కొల్లలాడు","దొంగిలించు,దోచుకొను,హరించు;కొల్లగా సంపాదించు;యథేచ్ఛముగా బడయు;యథేచ్ఛముగా ననుభవించు",,,1,2,3,,,,,
కొసరు,"అపేక్షించు,కోరు;ప్రార్థించు,వేడు;(కొనువాడు)తానిచ్చిన వెలకు సరిపడిన సరుకు కంటే ఎక్కువగానడగు;ఆస్వాదించు,అనుభవించు",,,,1,,2,,,,
కోగు,గొరుగు,,,,1,,2,,,,
కోడు,బియ్యము మొ..వానిని చేటలో బోసి ప్రక్కవాటుగా ఇటునటు త్రిప్పు,,,1,2,,,,,,
కోడాడు-క్రోడాడు;కోరాడు,కొమ్ములతో పొడుచు;అపహరించు,,,,1,2,,,,,
కోడగించు,"కోడిగము చేయు,పరిహసించు",,,,1,,2,,,,
కోపించు,కినియు,,,,2,,1,,,,
కోయు,"ఖండించు,ఛేదించు,నరుకు;(పువ్వులు,కాయలు మొ..వి)త్రుంచు",,,,1,,,2,,,
కోరాడు-క్రోడాడు,"(ఏనుగులు క్రీడార్థము దంతములతో గట్టు మొ..వానిని)క్రుమ్ము;(ఎద్దులు,దున్నలు మొ..వి మదోత్సాహముల చేత గోమ్ములతో)కొట్టు;(పంది ముట్టెతో నేల మొ..వి)కెల్లగించు;(ఎలుగులు మొ..వి నఖాదులతో) చీరు,చీల్చు;(దుమ్ము లోనగువానిని) రేగజేయు;పాడుచేయు",,,,2,1,,,,,
కోరు,"వాంచించు,కామించు,వరించు;ప్రతీక్షించు,నిరీక్షించు,ఎదురుచూచు",,,,1,,2,,,,
కోరు,"చీరు,గీరు",,,,2,,1,,,,
కోలుకొలుపు,"కోలుకొనజేయు;ఉత్సహింపజేయు,ప్రోత్సాహ పరచు",కోలుకొను,,1,2,,,,,,
కోలుపడు,కోలుపోవు;పోగొట్టుకోను,కోలు,,1,2,,,,,,
కోలుపుచ్చు,"కొలపోవజేయు;పోగొట్టు,చంపు",,,,1,2,,,,,
కోలుపోవు-కోలుపడు,పోగొట్టుకొను,,,1,2,,,,,,
కోలుమసగు,"చంపు,కసిమసగు",,,1,2,,,,,,
కౌగిలించు-కవుగిలించు,ఆలింగనము చేయు,కౌగిలి,,,2,,1,,,,
క్రందుపఱుచు,కప్పు,క్రందుపడు,,,2,,,,1,,
క్రక్కించు,క్రక్కజేయు,క్రక్కు,,,2,,1,,,,
క్రక్కు-కక్కు,"కడుపులోనిది వెలిపుచ్చు,వెడలించు",,,,2,,1,,,,
క్రచ్చుకొను,"చుట్టుకొను,ఆక్రమించు,ఆవరించు;కదియు,చేరు",క్రచ్చు,,,1,,,,2,,
"క్రమ్మఱించు,క్రమ్మఱచు","మరలించు,త్రిప్పు",,,1,2,,,,,,
క్రమించు,"క్రమ్మజేయు,వ్యాపింపజేయు",క్రమ్ము,,1,,2,,,,,
క్రమ్ము,"కలియు,కూడు;(పక్షులుఱెక్కలతో గ్రుడ్లను)కప్పు,పొదుగు;ఆవరించు,చుట్టుకొను;చుట్టు;కప్పు,మఱుగుపఱుచు",,,,1,,,,2,,
క్రాచు - కాచు,"కాల్చు,కరగించు,తపింపజేయు,నశింపజేయు,పోగొట్టు,చంపు;పీడించు",క్రాగు,,1,2,,,,,,
క్రాయు,"కక్కు,ఉమియు,దంచు",,,,1,,2,,,,
క్రిందుపఱుచు,"క్రిందుపడజేయు;అధస్థితాముగా జేయు;భంగపఱుచు,అవమానపఱుచు,ఓడించు",క్రిందుపడు,,,2,,,,1,,
క్రిందుసేయు,క్రిందుగాజేయు;అధోముఖముగాజేయు;తక్కువపఱచు,,,1,2,,,,,,
క్రిక్కిఱించు,క్రిక్కిఱియజేయు;ఎడమలేకుండజేయు,క్రిక్కిఱియు,,,1,,2,,,,
క్రుంకించు,"క్రుంకజేయు,అస్తమింపజేయు",క్రుంకు,,1,2,,,,,,
క్రుక్కించు,"క్రుక్కజేయు;అదిమించు,కూరించు",క్రుక్కు,,,1,,2,,,,
క్రుక్కు,"(పేను మొ""వాటిని) బొటనవ్రేలు గోటితోనొక్కు;అడచు;అదుము,కూరు;తూర్చు,చొప్పించు",,,,1,,2,,,,
క్రుచ్చు - కూర్చు,కూర్చు,,,,1,2,,,,,
క్రుమ్మరించు - కుమ్మరించు,క్రుమ్మరిల్లజేయు;అధికముగా ప్రసరింపజేయు;అధికముగావెలువఱుచు,,,1,2,,,,,,
క్రుమ్ము - కుమ్ము,ప్రొడుచు,,,,1,,2,,,,
"క్రేడించు - క్రేణించు,క్రేడించు","ఉపేక్షించు,అలక్ష్యము చేయు",క్రేడి,,,1,2,,,,,
క్రేడిసేయు - క్రేణిసేయు,పరిహాసము చేయు,,,,1,,2,,,,
క్రేణించు - క్రేడించు,"అలక్ష్యము చేయు,తిరస్కరించు",క్రేణి,,,2,,1,,,,
క్రేణిసేయు - క్రేడిసేయు,"పరిహసించు,తిరస్కరించు",క్రేణి,,,1,,2,,,,
క్రేళ్లుదోలు,పరుగులెత్తించు,,,2,1,,,,,,
క్రేళ్లుద్రిప్పు,గంతులువేయించు,,,1,2,,,,,,
క్రొత్తపఱుచు,"క్రొత్తపడజేయు,నూతనముగాజేయు",క్రొత్తపడు,,,2,,,,1,,
క్రోయు,చాచు,,,,1,,,2,,,
క్రోలించు - కోల్చు,క్రోలజేయు;త్రాగించు,క్రోలు,,,2,,1,,,,
క్రోలు,"త్రాగు,పానముచేయు;తిను,భక్షించు;మ్రింగు",,,,1,2,,,,,
క్రోలుచు - క్రోలించు,"క్రోలజేయు,త్రాగించు",,,,2,,1,,,,
క్రోలుచు,"పఠించు,అభ్యసించు;(కోకిల మొ"")పాడు,గానముచేయు",,,,1,2,,,,,
ఖేటాయించు - కేటాయించు,వేఱుపఱుచు,,,,2,,,1,,,
ఖేటించు,విడిచిపెట్టు,,,,2,,,1,,,
గంటిపఱుచు,"గంటిపడజేయు,రంధ్రముపడజేయు",గంటిపడు,,1,2,,,,,,
గంటివెట్టు,"గంటిపడజేయు,బొఱ్ఱెపెట్టు",,,2,1,,,,,,
గంటు,"గాయపఱచు,గాయము గలవానినిగాజేయు",,,,1,,,2,,,
గంటువెట్టు,"ముడివడజేయు,ముడుచుకొను",,,,1,,,2,,,
గండరించు,"పడియచ్చు మొ"" విగ్రహొదులను - నిర్మించు,రచించు,చేయు",గండరువు,,1,2,,,,,,
గండ్రించు,"ఖండించు,నఱుకు,గండ్రలుగాజేయు",గండ్ర,,,1,,,2,,,
గట్టించు,గట్టనచేయు,గట్టి,,,2,,1,,,,
గడించు,"సంపాదించు,ఆర్జించు;కల్పించు",,,,1,2,,,,,
గడించు,"గణనసేయు,పాటించు",,,,2,1,,,,,
గడికాళ్లువేయు,రెండు రెండు పశువులను ఒక్కొక్క కాలు చేర్చి లంకెవేయు,గడి,,,1,,,2,,,
గణుతించు,"ఎంచు,భావించు;లెక్కించు;లక్ష్యపెట్టు,సరుకుసేయు;స్తుతించు,కొనియాడు",,,,2,1,,,,,
గతుకు - కతుకు,"(కుక్క మొ"")కొంచెము కొంచెముగాదిను;నాలుకతో కొంచెము కొంచెముగా ద్రాగు",,,,1,,2,,,,
గదమాయించు,గద్దించు,,,,2,1,,,,,
గదుము,"అదలించు,గద్దించు",,,,1,2,,,,,
గద్దించు - గద్దఱించు,"అదలించు,బెదరించు",,,,2,1,,,,,
గమనించు,"గ్రహించు,పాటించు;నడపు;చేరు,కదియు",,2,,1,,,,,,
గయ్యాళించు - గయాళించు,ధిక్కరించు,,1,,2,,,,,,
గారవించు,"గారవముచేయు,ఆదరించు,గౌరవముచేయు,లాలన చేయు",గారవము,1,,2,,,,,,
గాలించు,నీళ్లలో పోసి బియ్యములోనగువానిని రాళ్లు రాకుండ పైకితీయు,,,1,2,,,,,,
గాళుచేయు - కాడుచేయు,"నాశనము చేయు,ధ్వంసముచేయు,పాడుచేయు",,,1,2,,,,,,
గావుకొను,బలిపుచ్చుకొను,,,,,,1,2,,,
గావుపట్టు,చంపు;నాశనము చేయు,,,,2,,1,,,,
గాసించు,"గాసిలజేయు,బాధించు,క్లేశపఱుచు",గాసి,,,1,2,,,,,
గాసిబఱుచు,"గాసిబడజేయు;పీడించు;బాధపెట్టు;నాశనముచేయు,చెఱుచు",గాసిబడు,,,2,1,,,,,
గాసిబెట్టు,"దుఃఖపెట్టు,శ్రమపెట్టు,బాధపెట్టు;ధ్వంసముచేయు,చెడగొట్టు,చెఱుచు",గాసి,,,1,2,,,,,
గాసిసేయు,"బాధపెట్టు,ధ్వంసము చేయు,పాడుచేయు",,,,1,,,2,,,
గింజు,"విదిలించు,చిమ్ము",,,1,2,,,,,,
గింజుకొను,"కాళ్లు - విదిలించు,చిమ్ము",గింజు,,1,2,,,,,,
గిచ్చు,"గీచు,(గోళ్లతో)గిల్లు",,,,2,,,1,,,
గిట్టించు,"చంపు,భేదించు",గిట్టు,,,1,,,2,,,
గినుమాడు,వంచించు,,,,2,1,,,,,
గిరాటువేయు,ఱువ్వు,,,,1,,2,,,,
గిఱికొను - గ్రిక్కొను,"చుట్టుకొను,పరివేష్టించు;ఆవరించు",గిఱి,,,,,2,,1,,
గిఱికొలుపు,గిఱికొనజేయు;క్రమ్ముకొనజేయు,,,,,,1,,2,,
గిఱుకు,"అక్షరములు బటువుగా వ్రాయక వంకరకొంకరగా గీచు,(తప్పువ్రాతను) తుడుచు",,,,1,,,2,,,
గిఱుపు - గిలుపు,"(కన్ను)గీటు;కదలించు,చలింపజేయు;దువ్వు,సవరించు",,,1,2,,,,,,
గిలకరించు,"చిలుకు,మథించు,గిలకొట్టు",,2,,1,,,,,,
గిలకొట్టు,"కలుపు,రంగరించు,వ్రేళ్లతో చిలుకు,వ్రేళ్లతో పుణుకు",,1,,2,,,,,,
గిలిగించు,"గిలిగింత కలదానినిగాజేయు,గిలిగింతపెట్టు",,1,,2,,,,,,
గిలిగిలించు,గిలిగించు,,2,,1,,,,,,
గిలుపు-గిఱుపు,కన్ను-గీటు,,,,1,,2,,,,
గిలుబాడు,"అపహరించు,వంచించు;ఏఱు,ఎన్ను",,,,1,2,,,,,
గిలుబు,అపహరించు,,,,2,1,,,,,
గిలుబుకొను,దొంగిలించు,,,,1,2,,,,,
గిలుబుచేయు,అపహరించు,,,,1,2,,,,,
గిల్లు,"(గోళ్లతో)త్రుంచు;(నఖములతో)క్షతము చేయు,గిచ్చు",,,,1,,,2,,,
గివుఱు,గీఱు,,,,1,,,2,,,
గీకు,"గోరు మొ""వానితో గీచు",,,,1,,,2,,,
గీటు,"(పండ్లు)కొఱకు,దీటు;(కన్ను)గిఱుపు,గిలుపు;చిమ్ము,మీటు,చీల్చు",,,,2,,,1,,,
గీటడగించు - గీటడచు,"చంపు,నశింపజేయు",గీటడగు,,,1,2,,,,,
గీటునబుచ్చు,"అనాదరించు,ఉపేక్షించు,పోగొట్టు",గీటు,,,1,,2,,,,
గీయు - గీచు,"చిప్వు,చెక్కు,గోకు,గంట మొ"" వి కొడుపు మొ""తో రాచు,అఱుగదీయ;బలపము మొ"" తోపలక మొ""పై గీయు",,,,2,,,1,,,
గీఱు,"(పండ్లతో)చీకు,ఛేదించు,భేదించు;(గోళ్లతో కురులు) దువ్వు",,,,1,,,2,,,
గుంజానుసుగు,పరిహాసము చేయు,,,,1,2,,,,,
గుంజు,"(వల మొ"")జాడించు,లాగు,బలాత్కారముగా నీడ్చు;ఉదుకు,బట్ట ఉదికినట్లు కొట్టు",,,1,2,,,,,,
గుంజుకొను,లాగుకొను,గుంజు,,1,2,,,,,,
గుండాడు,"గుండగాజేయు,పోడిచేయు",,,2,1,,,,,,
గుండుకొను,"చుట్టుకొను,ఆవరించు",,,,,2,,,1,,
గుండ్లు బెండ్లాడు,"చలింపజేయు,కదలించు",,,,1,,2,,,,
గుంపించు,కుప్పవేయు,గుంపు,,,2,1,,,,,
గుంపించు,అతిక్రమించు,,,2,1,,,,,,
గుజరానుపఱచు - గుజరాయించు,"ఇచ్చు,సమర్పించు",,,,2,,,1,,,
గుత్తగట్టు,గుత్తకిచ్చు,,,,1,2,,,,,
గుత్తగొను,గుత్తగా పుచ్చుకొను,,,,2,1,,,,,
గుదిత్రోయు,కాళ్లు కట్టి త్రోయు,,,1,2,,,,,,
గుదివెట్టు,"కట్టు,బంధించు",,,,1,,,,2,,
గుద్దలించు,"గుద్దటితో త్రవ్వు;త్రవ్వు;వెల్లడించు,వెదకు",గుద్దలి,,1,2,,,,,,
గుద్దలిగొను,"గుద్దలిపెట్టి త్రవ్వు,త్రవ్వు",,,2,1,,,,,,
గుప్పళించు,"(అడుగులు గంతులు వేయు),చల్లు,ఉప్పళించు;వస్త్రము మొ""ని ఉసుము;కలిగించు,పుట్టించు",,,1,2,,,,,,
గుప్పించు,"(అధికముగా) ఇచ్చు;గుప్పు,(బాణాదులను అధికముగా)ప్రయోగించు;కురియు,వర్షించు",,2,,1,,,,,,
గుప్పు,"(బాణాదులను అధికముగా)ప్రయోగించు,(అధికముగా) పెట్టు,ఉంచు,(రోకలి రెండు చేతులబట్టి బియ్యములోనగువానిని)గట్టిగా దంచు;చల్లు,చిమ్ము;పొడుచు,వర్షించు",,1,,2,,,,,,
గుబుకు - గుముకు,(పిడికిటితో) పొడుచు,,,,1,,,2,,,
గుముకు,"పిడికిలి మోచేయి మొ""వానితోబొడుచు",,,,2,,,1,,,
గుర్వణగించు,"ఆధిక్యమణచు,నశింపజేయు",,,,1,,2,,,,
"గుఱించు,గుఱియించు",లక్ష్యముగా నుంచుకొను;గుఱిగాజేసికొను;మితియిడు,గుఱి,,,1,,2,,,,
గుఱికొను,లక్ష్యముగా జేయు,,,,1,,2,,,,
గుఱిచే(సే)యు,"లక్ష్యము చేయు,ఉద్దేశించు;దృష్టాంతముగా జేయు;లక్ష్యపెట్టు,సరుకుగొను",,,,2,,1,,,,
గుఱుతి(ర్తి)oచు,"ఆలోచించు,ఆనవాలుపట్టు",గుఱుతు,,,1,2,,,,,
గుఱుతిడు,"అపేక్షించు,కోరు",,,,2,,1,,,,
గుఱుతుపెట్టు,చిహ్నితము చేయు,,,,1,2,,,,,
గుఱుతెఱుగు,"ఆనవాలుపట్టు,తెలిసికొను",,,,1,2,,,,,
గులకరించు2,"వెలార్చు,బయలుపఱుచు",,,1,2,,,,,,
గుల్లపఱ(ఱు)చు,అవమానపఱుచు,గుల్లపడు,,,1,,,,2,,
గూటిపఱచు,కప్పిపుచ్చు,,,,1,,,,2,,
గెంటించు,"చలింపజేయు,కదల్చు;తొలగించు;పాడుచేయు,నాశముచేయు;కొట్టు",గెంటు,,1,2,,,,,,
గెంటు,"నెట్టు,తోయు,(అప్పు మొ"")తీర్చు;(అస్త్రము మొ"")ప్రయోగించు",,,1,2,,,,,,
గెబ్బు,గెంటు;చంపు,,,2,1,,,,,,
గెలిపించు,"గెలవజేయు,జయింపజేయు",గెలుచు,,,1,,2,,,,
గెలుచు,"జయించు,నిగ్రహించు;కడుపు,పుచ్చు",,,,2,,1,,,,
గెలుపుకొను,"గెలుచు,జయించు",,,,1,,2,,,,
గేలించు,"గేలిచేయు,అపహసించు",గేలి,,,1,,,,2,,
గేలిగొసు - గేలికొట్టు,"పరిహసించు,పరిహాసముచేయు",,,,2,,,,1,,
గేలిపెట్టు,"పరిహసించు,వేళాకోళము చేయు",,,,1,,,,2,,
గొడగు - గొణగు,నోటిలో నుచ్చరించు;కసరు;(పావురములు)కూయు,,,,1,,2,,,,
గొడ్డేఱు,"గుత్తకు తీసికొను,గుత్తయెత్తు",,,,1,,,,,,
గొదగొను3,"వహించు,తాల్చు",,,,2,,1,,,,
గొనకొలుపు,"పురికొల్పు,ప్రేరేపించు",గొనకొను,,,1,,,,2,,
గొఱుకు,క్షౌరము చేయు,,,1,2,,,,,,
గోకు,"గీకు,బరుకు",,,,1,,,2,,,
గోజాడు,పీడించు అడుగు,,,,1,2,,,,,
గోడివెట్టు,వంచు,,,,2,,1,,,,
గోమించు,గోముచేయు,గోము,,,1,,2,,,,
గోరింపులాడు,"ఎగ్గురగొట్టు,సంహరించు,చంపు",,,,2,,,1,,,
గోరుచు,(బంతిని)కొట్టు,,,2,1,,,,,,
గోరుపులాడు,బంతి-కొట్టు,గోరుపు,,2,1,,,,,,
గోలించు,చమురు పోసి వేచు,,,,1,,,,2,,
గ్రిక్కొను - గిఱికొను,వేష్టించు,,,,2,,,,1,,
గ్రుక్కగొను,గ్రుక్కగా కొను - త్రాగు,,,,1,2,,,,,
గ్రుక్కలుపెట్టు,గ్రుక్కలుగా కొను - త్రాగు,,,,2,1,,,,,
గ్రుచ్చెత్తు,కలయగలుపు,,,2,1,,,,,,
గ్రుద్దు,"పిడికిటితో కొట్టు;శూలము మొ""తో పొడుచు",,,,1,,,2,,,
గ్రుయ్యు - గ్రుచ్చు,(బాణాదులను) నాటు,,,1,2,,,,,,
గ్రెమ్ము,సాగగొట్టు,,,1,2,,,,,,
గ్రొచ్చు,"గ్రొయ్యజేయు,త్రవ్వు;చీల్చు,విదళించు;(త్రవ్వి) పెఱికి వేయు,పెల్లగించు",గ్రొయ్యు,,2,1,,,,,,
ఘిరాయించు,ముట్టడించు,,,,1,,,,2,,
చంపు,చావజేయు,చచ్చు,,,2,,,1,,,
చక్కజేయు,"చక్కబఱుచు, కుదురుపఱుచు, బాగుచేయు, సంస్కరించు, సమాప్తముచేయు, ముగించు, అణచు, పోగొట్టు, చంపు",,,,1,2,,,,,
చక్కబెట్టు,"సవరించు, సరిచేయు, ఏలు, పరిపాలించు, నిర్వహించు, అణచు, పోగొట్టు, చంపు, బాగుచేయు, మానుచు",,,,2,1,,,,,
చక్కడచు,"ముక్కలు చేయు, ఖండించు",,,,1,,,2,,,
చక్కడుచు,"ఖండించు, నఱకు,చంపు",,,,2,,,1,,,
చక్కాడు,"ఖండించు, నఱకు,చంపు",,,,1,,,2,,,
"చక్కుచేయు, చక్కుగావించు","ముక్కలుచేయు, ఖండించు, నఱకు, అడచు, పోగొట్టు",చేక్కు,,,2,,,1,,,
చట్టలుచీ(ల్చీ)రు,"చట్టలు చీల్చు - వదించు, చంపు",చేట్టు,,,1,,,2,,,
చట్టుమోపు,దండనముగా రాయి మోవజేయు,,,1,2,,,,,,
చదుపు,"చదియజేయు, నలగగొట్టు, భగ్నముచేయు, విఱుగగొట్టు, చంపు, నశింపజేయు, కొట్టు",,,2,1,,,,,,
చదుము,"నలగగొట్టు, గ్రుద్దు",,,1,2,,,,,,
చదువు,"పఠించు, పలుకు, శుభసమయమలలో  పురోహిత్తుడు కట్నములను అవియిచ్చువారు పేరుతోను పుచ్చుకొనువరిపేరుతోను చెప్పి ప్రకటించు",,,,1,,2,,,,
చప్పటించు,"చఱచు, కొట్టు",చప్పట,,1,2,,,,,,
చప్పరించు,"నాలుకపై నిడుకొని భక్ష్యదులరసము కొంచెము కొంచెముగా పీల్చు, నాకు, నమలు, నిర్లక్ష్యం చేయు, నిమురు, ఒప్పించు, సమ్మతింపజేయు",,,1,2,,,,,,
చప్పు,"నమలు, చప్పరించు",,,1,2,,,,,,
చబుకుసేయు,"చబుకుతో గట్టు, తఱటుసేయు",,,1,,,,,,,
చమరు,"నలచు, రాచు, కొట్టు, చఱచు, చంపు",,,,2,,1,,,,
చమురు,"పూయు, రాచు",,,,2,,,,1,,
చరుము,"చమురు, నిమురు, మెల్లగరాచు",,,,1,,,,2,,
చర్చించు,"విచారించు, విమర్శించు, పరికించు",,,,1,,2,,,,
చఱచు,"అఱచేతితో కొట్టు, కొట్టు, సాగగొట్టు, ఆస్ఫాలనము చేయు, వాయించు, ఆక్రమించు, బడ్డు, వేయు, తుడుచు, మించు, అతిశయించు, కొన్ని పదముల కనుప్రయుక్తమై కలదియగు అనునర్ధమిచ్చును",,,,2,,1,,,,
చలివాపు,బుజ్జగించు,,,,1,2,,,,,
చలుపు(ల్పు)-సలుపు,"చనజేయు, కడపు, పుచ్చు, ప్రసరింపచేయు, కావించు, చేయు, నొనువు, గ్రుచ్చు, అనుసరించు",చను,,,2,,1,,,,
చలువ చేయు,చవుటి నీళ్ళలో నుడికించి యుదుకు,,,2,1,,,,,,
చల్లజేయు,చల్లార్చు,,,1,2,,,,,,
చల్లు,"(నీళ్ళు మొదలుగునవి) చిలుకు, చిలుకరించు, పోయు, నలువైపుల, విక్షేపించు, పాఱబోయు. (వాసనగాలి కాంతి మొ "") ప్రసరింపజేయు, వెల్లడించు, వ్యక్తపఱచు, ఎక్కువగానిచ్చు,  అధికముగాజెప్పు",,,,1,,,,2,,
చల్లులాడు-చల్లు,"నీళ్ళు మొ "" చల్లుకొను",,,,2,,,,1,,
చవిగొను,"రుచిచూచు, అనుహవించు, తిను, పానముచేయు",,2,,1,,,,,,
చవిచూచు,"రుచిచూచు, పానముచేయు",,1,,2,,,,,,
చాగఱగొను,"చావగొట్టు, అధికముగా కొట్టు, ఖండించు, ముక్కలుచేయు",,,,1,,,2,,,
చాగఱలాడు,వడీంచు,,,2,1,,,,,,
చాచు-చాపు,చాగజేయు,,,2,1,,,,,,
చాదు,"అఱుగదియు, రాచు, పెట్టుకొను",,,1,2,,,,,,
చాపు - చాచు,చాగజేయు,చాగు,,2,1,,,,,,
చాగించు,సాగునట్లు చేయు,చాగు,,1,2,,,,,,
చాటించు,"డప్పు మున్నగునవి వాయించి  ప్రకటించునట్లు చేయు, చాటజేయు, కేకలు వేయుచు అందరకు తెలియజేయు",చాటు,2,,1,,,,,,
చాటు,"డప్పు మున్నగునవి వాయించి కేకలు వేయుచు అందరకు తెలియజేయు, విశదపఱచు, స్పష్టపఱచు, వెల్లడించు",,1,,2,,,,,,
చాటుచేయు,మఱగు పఱచు,,,,2,,,,1,,
చాతు,"ధరించు, సమర్పించు",,,,1,2,,,,,
చారు,చీపురుగట్టు యడుగుతో నుఱిచిన కళ్ళమును - ఊడ్చు,,,2,1,,,,,,
చాలించు,"సమర్ధుడని తలచి నిలుపు - నియోగించు ప్ర్యప్తము చేయు. ముగించు, సంప్తము చేయు. త్యజించు, విడుచు, మాను",చాలు,,2,1,,,,,,
చాలువట్టు,"చాలెత్తు, దున్ను",,,,1,,2,,,,
చాలెత్తు,"దున్ను, చాలువట్టు",,,,2,,1,,,,
చించు-చింపు,"చినుగజేయు, చీల్చు, విదారించు, భేదించు, నఱకు, ఖండించు, విరియు, పొగొట్టు, సంహరించు, చంపు",చినుగు,,,2,,,1,,,
చింతించు,"ధ్యానించు, తలచు, ఆలోచించు",,,,1,2,,,,,
చిందఱలాడు,"ఛేదించు, ఖండించు",,,1,2,,,,,,
చిందఱ(లు)సేయు,"విరియజేయు, చెదరగొట్టు",,,1,2,,,,,,
చిందు,"రాలుచు, ఒలకించు, వెచ్చించు, వ్య్యము చేయు",,,2,1,,,,,,
చిందువందుచేయు,"చిన్నభిన్నములు చేయు, ముక్కలుచెయు, వ్యయముచెయు, వెచ్చించు",,,1,2,,,,,,
చింపు-చించు,చినుగజేయు,చినుగు,,1,2,,,,,,
చికిలించు,కనుఱెప్పలు మాటిమాటికి మూసి తెఱచు,చికిలు,,2,1,,,,,,
చికిలిచే(సే)యు,"వాడిచేయు, మెఱుగుపెట్టు",చికిలి,,,1,,,2,,,
చిక్కించు,చిక్కజేయు,చిక్కు,,,2,1,,,,,
చిగు(వు)రుచు(ర్చు)-చిగిరించు,"అనుకురింపజేయు,పుట్టించు,వెలయించు",,,1,2,,,,,,
చిటులి(ట్లి)oచు-చిటులుచు,"చిటులజేయు, చెడగొట్టు, పోగొట్టు, చాయజేయు, విక్షేపించు, విఱుచు, ముడుతలు పడజేయు",చిటులు,,2,1,,,,,,
చిట్టాడు,చలింపజేయు,,,,1,,2,,,,
చిత్తగించు,"స్మరించు, తలచు, ఆలోచించు, చిత్తమునకు దీచ్చుకొను",,,,2,,1,,,,
చిత్తరించు,"చిత్రించు, చిత్తరువువ్రాయు",చిత్తరు,,,1,2,,,,,
చిదుపు,"చిదియజేయు,నలగగొట్టు",చిదియు,,1,2,,,,,,
చిదుము,"కోయు, త్రుంచు, గిల్లు, గ్రుచ్చు",,,1,2,,,,,,
చినుకు(న్కు),"బొట్లుగారాల్చు, కురియజేయు, కార్చు",,,2,1,,,,,,
